,分类名称,R_max,W,P,Q,S(Q)
0,水生根茎类,519.521654747076,0.359908549082561,6.69306190601964,61.7280774372778,71.4859032278840
1,花叶类,10082.8638745418,3,10.8004,243.1349868848344,278.9204851265738
2,花菜类,404.416358421956,2.71658795095135,16.4704311634360,39.5803159791312,46.8461545498061
3,茄类,2630.43080361493,3,16.1016,35.19316309556696,37.71234793781286
4,辣椒类,6373.86166310071,3,18.732,100.55160500779539,110.78845858064719
5,食用菌,414.788814170030,1.01768558035257,10.9231444263547,110.185502501878,121.684707346083
